Country,p1,p2,p3,mu1,mu2,mu3,sig1,sig2,sig3
HKG_A,0.25098821939812715,0.3035827315615058,0.44542904904036706,0.007294455066053094,-0.006223627319673904,0.00013281520076992382,0.0025552633881459072,0.016287009690016615,0.016287009690016615
ISR_A,0.24922997053956691,0.3019383194176511,0.448831710042782,0.006822289032110445,-0.006089690831782998,0.00030728931559551086,0.0013619074641349387,0.016300395363333296,0.016300395363333296
MYS_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
POL_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
SVK_A,0.24923220044576072,0.30173488088741063,0.4490329186668287,0.005657951666243017,-0.006717133143648409,0.0013744596004572126,0.001491356414322489,0.015877494070644725,0.015877494070644725
URY_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
BEL_A,0.24864503255998122,0.3014233192612017,0.44993164817881715,0.006330700141707078,-0.006475074021996478,0.0008395098211260698,0.0029741578004885204,0.016140545150262805,0.016140545150262805
CHN_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
ESP_A,0.25368861663623704,0.31197951702896193,0.43433186633480103,0.003454677167793317,-0.008235569000056044,0.003897698468659144,0.0019899768762763467,0.015142940588827465,0.015142940588827465
HUN_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
ITA_A,0.24842865327004204,0.30109695972405615,0.4504743870059018,0.010861716698258583,-0.006524599332331837,-0.001632735817895569,0.0031367225092550715,0.01622801984299791,0.01622801984299791
NAM_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
PRT_A,0.24956194623715952,0.3021758841329223,0.44826216962991816,0.009688850177075537,-0.00604771861141483,-0.0013208028571317784,0.0014959715744910435,0.01647169326300061,0.01647169326300061
SVN_A,0.25019894395732023,0.30226471334480315,0.4475363426978767,0.009184896485491477,-0.00595731536080036,-0.001109208829050068,0.0017272061621741452,0.016480307869643666,0.016480307869643666
USA_A,0.2489108671972373,0.3008024604288289,0.4502866723739338,0.010359135236278506,-0.00595098289509657,-0.0017515864846405227,0.0020910510730144374,0.01731760027790279,0.01731760027790279
BGR_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
COL_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
EST_A,0.25420221682020183,0.3010362616573988,0.44476152152239945,0.0025986656316287,-0.008769501190186777,0.004451652671905174,0.0031732912932775316,0.014887943165095539,0.014887943165095539
IDN_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
JPN_A,0.2546133219715837,0.3028305835184683,0.44255609450994804,0.00504448948660506,-0.007893107973016119,0.0024975661641400432,0.005755163884310763,0.015345620151248135,0.015345620151248135
NLD_A,0.2568587921380225,0.30369396900616275,0.4394472388558148,0.0042497686033184595,-0.007790251092708254,0.002900179543076524,0.00233820137582988,0.015369819031512511,0.015369819031512511
PRY_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
SWE_A,0.2508516588583854,0.3046147628881285,0.44453357825348605,0.005658027407657097,-0.006803662643346314,0.0014707554685004704,0.0037234209548526434,0.015959743185088696,0.015959743185088696
ZAF_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
BOL_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
CYP_A,0.2528882213294201,0.30077163690855524,0.44634014176202463,0.003056272032780233,-0.008460086755208313,0.003970019366324822,0.0032398590808372925,0.015084489463023818,0.015084489463023818
FIN_A,0.2545033176251009,0.3021956253899119,0.4433010569849871,0.008837708395042986,-0.005849101537987127,-0.0010873952453415812,0.0014214913799822245,0.016485492216681098,0.016485492216681098
IND_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
KOR_A,0.25012182564233953,0.30265715731478576,0.44722101704287476,0.00739349091682811,-0.006416712201743125,0.00020699968882419403,0.0028987437778567626,0.016606608514663702,0.016606608514663702
NOR_A,0.2533676658772803,0.3109410581708837,0.435691275951836,0.0030658183034541933,-0.008315700143365964,0.004151096512498039,0.0026843065667125337,0.015068742403366144,0.015068742403366144
QAT_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
THA_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
AGO_E,0.402422392440376,0.4461221411234669,0.15145546643615715,0.008200527532719312,-0.0020304773892728546,-0.015806272924505035,0.001664357528157266,0.006789742860976494,0.006789742860976494
BRA_E,0.3973450181516216,0.4310129222376303,0.17164205961074808,0.000768795051024455,0.004766033316504915,-0.013748066911054195,0.0023789141561115384,0.002820918336972515,0.002820918336972515
CZE_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
FRA_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
IRL_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
LUX_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
NZL_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
ROU_E,0.4151201116322079,0.45766788370855455,0.12721200465923754,0.01644967083946544,-0.009688467219540038,-0.018821030171079663,1.0000302880182274e-08,0.0019196849588753269,0.0019196849588753269
TUN_E,0.3951170991028134,0.4389481287690393,0.16593477212814722,0.003427537588676045,0.00266299482997569,-0.015206786323884676,0.00044108037879196426,0.0006956909821563832,0.0006956909821563832
ARG_E,0.3890514038565105,0.43372368112597787,0.1772249150175116,0.01110633093154688,-0.004199704568757267,-0.014102014804673168,0.0012007411365709052,0.003518520900530684,0.003518520900530684
CAN_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
DEU_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
GBR_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
IRN_E,0.38867258354059864,0.4222020288933688,0.1891253875660326,0.00839423102378116,-0.005287547793762185,-0.005444558527480458,0.002651936416059724,1.0394822834389825e-08,1.0394822834389825e-08
MEX_E,0.39741740777415746,0.4431333214112987,0.15944927081454385,0.014128397211758143,-0.0059610459916451175,-0.0186479099694742,1.1485965065238702e-08,0.001210263425737724,0.001210263425737724
PER_E,0.39639261270460113,0.4386692033957906,0.16493818389960824,0.002649736887938256,0.0033531307921395425,-0.01529482136668426,0.004237353020929285,0.002213030194663177,0.002213030194663177
SAU_E,0.4161361655728559,0.45645470497369545,0.12740912945344873,0.013528010373992755,-0.007590470625580523,-0.016995843823951803,0.00030227105125154327,0.0005830783856530398,0.0005830783856530398
TUR_E,0.40135353310554794,0.4360885795034378,0.1625578873910143,0.004979407022203105,0.0021424096456975484,-0.018042587928100734,0.002815906710641322,0.002809381542703304,0.002809381542703304
AUS_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
CHE_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
DNK_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
GRC_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
ISL_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
MLT_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
PHL_E,0.4031278534281336,0.44592165425774793,0.1509504923141185,0.011404598893685154,-0.004817635359542668,-0.016226645200525906,1.0000147450989866e-08,0.0019454231264287654,0.0019454231264287654
SGP_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
TWN_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
AUT_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
CHL_E,0.4000904545846757,0.4383663112607355,0.16154323415458882,0.00472238141840901,0.0028868309431081493,-0.019528519348413317,0.0011133458095660205,0.00076504328233983,0.00076504328233983
EGY_E,0.40252263426408663,0.44386911062824186,0.1536082551076715,0.00825902018415225,-0.0017252104323898453,-0.016659594481090178,0.0024062483931951884,0.005373664159718847,0.005373664159718847
