"cc","autocorr_coef","mean","stdev","skewness","kurtosis","mean_ar","var_ar","skewness_ar","kurtosis_ar","pop"
"HKG_R",0.535219289048416,-7.18650029782748e-19,0.00963850970024268,-0.572576732338373,4.42034212426052,-4.31127809295778e-05,0.000128385261204363,-0.39037583206373,3.7726543214575,5328.539616
"ISR_R",0.535308565972422,-3.84064837371984e-19,0.00963861271445275,-0.571662789667425,4.41995236058505,-0.000153029298931467,0.000126436883030304,-0.403216306036889,3.68598962946412,5327.456393
"MYS_R",0.535197048126615,-2.55258403426804e-19,0.00963849402468954,-0.571533806267283,4.41896465893025,-0.000260950665583724,0.000123870821590098,-0.428587597933857,3.83727239093132,5304.025993
"POL_R",0.535993999632258,3.25820554880277e-20,0.0100112006390275,-0.584198253227982,4.70720363467738,8.50539602180356e-05,0.000133275400072613,-0.517286824074225,4.13223735265621,5298.088002
"SVK_R",0.651896182050242,5.94358712141153e-21,0.00715758659386984,-1.38378995715488,8.73644091698774,0.000104301002216813,8.17558285472557e-05,-0.781145420135997,5.30391447719722,5330.518757
"URY_R",0.535377044255257,2.6516438196249e-19,0.00963893244010936,-0.572441211797784,4.42090929866409,-0.000331859104185696,0.000115095232892561,-0.41323099518714,3.84820494425488,5332.514036
"BEL_R",0.53514018010838,-4.24758310066769e-19,0.00963785703908529,-0.572238306044835,4.42143840885117,7.81303762694816e-05,0.000128070180944654,-0.431915146179867,4.00961447835101,5324.436442
"CHN_R",0.55013521128448,-2.93662015865876e-19,0.0099309634021694,-0.58933061012814,4.10562525262281,-0.000403434335679699,0.000133515812062186,-0.45398921007719,3.71182483403716,3902.192084
"ESP_R",0.534432489645696,-3.53492690572356e-19,0.00963372048959805,-0.566061604498654,4.41129309645509,4.84147939031905e-05,0.000132296943257766,-0.458984582409099,3.98281770484511,5289.238994
"HUN_R",0.53126883793081,2.29133179600262e-19,0.00998566698548913,-0.586054236734098,4.72455623136459,9.53641289317006e-05,0.000134285034256369,-0.379701736617848,3.96227091620063,5326.291091
