"year","cc","dlgdp_pc","disaster","recession","normal","expansion","boom"
2006,"AUS",0.0208486233720997,NA,NA,NA,0.0208486233720997,NA
2007,"AUS",0.0172497842386314,NA,NA,NA,0.0172497842386314,NA
2008,"AUS",-0.000505820598123097,NA,NA,-0.000505820598123097,NA,NA
2009,"AUS",0.00103254900421446,NA,NA,0.00103254900421446,NA,NA
2010,"AUS",0.00595090238789031,NA,NA,0.00595090238789031,NA,NA
2011,"AUS",0.0215074911420821,NA,NA,NA,0.0215074911420821,NA
2012,"AUS",0.00945859489254608,NA,NA,0.00945859489254608,NA,NA
2013,"AUS",0.00985670312324305,NA,NA,0.00985670312324305,NA,NA
2014,"AUS",0.00713617956406498,NA,NA,0.00713617956406498,NA,NA
2015,"AUS",0.0132746380973878,NA,NA,0.0132746380973878,NA,NA
2016,"AUS",0.00908317932828728,NA,NA,0.00908317932828728,NA,NA
2017,"AUS",0.0160128603711396,NA,NA,0.0160128603711396,NA,NA
2018,"AUS",0.00874493581078895,NA,NA,0.00874493581078895,NA,NA
2019,"AUS",-0.0149175243900115,NA,NA,-0.0149175243900115,NA,NA
1960,"AUT",NA,NA,NA,NA,NA,NA
1961,"AUT",0.046584742696695,NA,NA,NA,0.046584742696695,NA
1962,"AUT",0.0136686468231644,NA,NA,0.0136686468231644,NA,NA
1963,"AUT",0.0372183841663511,NA,NA,NA,0.0372183841663511,NA
1964,"AUT",0.0537007643791034,NA,NA,NA,NA,0.0537007643791034
1965,"AUT",0.019784213891777,NA,NA,0.019784213891777,NA,NA
1966,"AUT",0.048414698182407,NA,NA,NA,0.048414698182407,NA
1967,"AUT",0.0248318195779695,NA,NA,NA,0.0248318195779695,NA
1968,"AUT",0.037903684105828,NA,NA,NA,0.037903684105828,NA
1969,"AUT",0.0604824069376833,NA,NA,NA,NA,0.0604824069376833
1970,"AUT",0.0671885321386045,NA,NA,NA,NA,0.0671885321386045
1971,"AUT",0.0463839396201917,NA,NA,NA,0.0463839396201917,NA
1972,"AUT",0.0577669042120101,NA,NA,NA,NA,0.0577669042120101
1973,"AUT",0.0452951555699013,NA,NA,NA,0.0452951555699013,NA
1974,"AUT",0.0368173728452561,NA,NA,NA,0.0368173728452561,NA
1975,"AUT",-0.00511019961838632,NA,NA,-0.00511019961838632,NA,NA
1976,"AUT",0.0453513536471886,NA,NA,NA,0.0453513536471886,NA
1977,"AUT",0.0513738801519945,NA,NA,NA,NA,0.0513738801519945
1978,"AUT",-0.000953069665612927,NA,NA,-0.000953069665612927,NA,NA
1979,"AUT",0.0549327847786558,NA,NA,NA,NA,0.0549327847786558
1980,"AUT",0.01840198919254,NA,NA,0.01840198919254,NA,NA
1981,"AUT",-0.000755005987411739,NA,NA,-0.000755005987411739,NA,NA
1982,"AUT",0.0204254108836261,NA,NA,NA,0.0204254108836261,NA
1983,"AUT",0.0296061052785177,NA,NA,NA,0.0296061052785177,NA
1984,"AUT",-3.83143050540768e-05,NA,NA,-3.83143050540768e-05,NA,NA
1985,"AUT",0.0239671015380776,NA,NA,NA,0.0239671015380776,NA
1986,"AUT",0.0216019157368017,NA,NA,NA,0.0216019157368017,NA
1987,"AUT",0.0117196004404603,NA,NA,0.0117196004404603,NA,NA
1988,"AUT",0.030330496151868,NA,NA,NA,0.030330496151868,NA
1989,"AUT",0.035122575709017,NA,NA,NA,0.035122575709017,NA
1990,"AUT",0.0384069899648884,NA,NA,NA,0.0384069899648884,NA
1991,"AUT",0.0279282216515027,NA,NA,NA,0.0279282216515027,NA
1992,"AUT",0.0133434460997734,NA,NA,0.0133434460997734,NA,NA
1993,"AUT",-0.00252128814709485,NA,NA,-0.00252128814709485,NA,NA
1994,"AUT",0.0169183626947826,NA,NA,0.0169183626947826,NA,NA
1995,"AUT",0.0211659350001046,NA,NA,NA,0.0211659350001046,NA
1996,"AUT",0.0199540073191082,NA,NA,NA,0.0199540073191082,NA
1997,"AUT",0.0190279544137952,NA,NA,0.0190279544137952,NA,NA
1998,"AUT",0.0347612476978156,NA,NA,NA,0.0347612476978156,NA
1999,"AUT",0.0342689771062439,NA,NA,NA,0.0342689771062439,NA
2000,"AUT",0.0314303306496575,NA,NA,NA,0.0314303306496575,NA
2001,"AUT",0.00911120434070689,NA,NA,0.00911120434070689,NA,NA
2002,"AUT",0.01193377116786,NA,NA,0.01193377116786,NA,NA
2003,"AUT",0.00429834989324118,NA,NA,0.00429834989324118,NA,NA
2004,"AUT",0.0222308435174907,NA,NA,NA,0.0222308435174907,NA
2005,"AUT",0.0178764055998784,NA,NA,0.0178764055998784,NA,NA
2006,"AUT",0.0305831126646776,NA,NA,NA,0.0305831126646776,NA
2007,"AUT",0.0337314857158177,NA,NA,NA,0.0337314857158177,NA
2008,"AUT",0.0112235094701296,NA,NA,0.0112235094701296,NA,NA
2009,"AUT",-0.0412239854544006,NA,-0.0412239854544006,NA,NA,NA
2010,"AUT",0.0138559395655991,NA,NA,0.0138559395655991,NA,NA
2011,"AUT",0.0239253861850044,NA,NA,NA,0.0239253861850044,NA
2012,"AUT",0.00103455353228421,NA,NA,0.00103455353228421,NA,NA
2013,"AUT",-0.00605340100162111,NA,NA,-0.00605340100162111,NA,NA
2014,"AUT",-0.000283795187887015,NA,NA,-0.000283795187887015,NA,NA
2015,"AUT",0.00276025851410822,NA,NA,0.00276025851410822,NA,NA
2016,"AUT",0.01189120246747,NA,NA,0.01189120246747,NA,NA
2017,"AUT",0.0155669007967887,NA,NA,0.0155669007967887,NA,NA
2018,"AUT",0.0175537594198785,NA,NA,0.0175537594198785,NA,NA
2019,"AUT",0.00697155049979714,NA,NA,0.00697155049979714,NA,NA
1960,"BEL",NA,NA,NA,NA,NA,NA
1961,"BEL",0.0452340878729749,NA,NA,NA,0.0452340878729749,NA
1962,"BEL",0.0470036311576147,NA,NA,NA,0.0470036311576147,NA
1963,"BEL",0.0362055320650598,NA,NA,NA,0.0362055320650598,NA
1964,"BEL",0.0605900080860149,NA,NA,NA,NA,0.0605900080860149
1965,"BEL",0.0259532232445654,NA,NA,NA,0.0259532232445654,NA
1966,"BEL",0.0232374802437898,NA,NA,NA,0.0232374802437898,NA
1967,"BEL",0.0331694156505702,NA,NA,NA,0.0331694156505702,NA
1968,"BEL",0.0426632373961848,NA,NA,NA,0.0426632373961848,NA
1969,"BEL",0.0594168959383106,NA,NA,NA,NA,0.0594168959383106
1970,"BEL",0.063888790586567,NA,NA,NA,NA,0.063888790586567
1971,"BEL",0.0341863864835572,NA,NA,NA,0.0341863864835572,NA
1972,"BEL",0.0493505725414525,NA,NA,NA,NA,0.0493505725414525
1973,"BEL",0.0581757837898964,NA,NA,NA,NA,0.0581757837898964
1974,"BEL",0.0391890935664418,NA,NA,NA,0.0391890935664418,NA
1975,"BEL",-0.0157505951595307,NA,NA,-0.0157505951595307,NA,NA
1976,"BEL",0.0540259161333694,NA,NA,NA,NA,0.0540259161333694
1977,"BEL",0.00401452182447382,NA,NA,0.00401452182447382,NA,NA
1978,"BEL",0.0263159044896992,NA,NA,NA,0.0263159044896992,NA
1979,"BEL",0.0215865291771598,NA,NA,NA,0.0215865291771598,NA
1980,"BEL",0.0432474839950197,NA,NA,NA,0.0432474839950197,NA
1981,"BEL",-0.00396326675232672,NA,NA,-0.00396326675232672,NA,NA
1982,"BEL",0.00501088017944995,NA,NA,0.00501088017944995,NA,NA
1983,"BEL",0.00230188229005579,NA,NA,0.00230188229005579,NA,NA
1984,"BEL",0.023785698721831,NA,NA,NA,0.023785698721831,NA
1985,"BEL",0.0154714773514073,NA,NA,0.0154714773514073,NA,NA
1986,"BEL",0.0170008166501137,NA,NA,0.0170008166501137,NA,NA
1987,"BEL",0.0216518829332546,NA,NA,NA,0.0216518829332546,NA
1988,"BEL",0.0454727707533604,NA,NA,NA,0.0454727707533604,NA
1989,"BEL",0.0324983802081162,NA,NA,NA,0.0324983802081162,NA
1990,"BEL",0.0286563095630652,NA,NA,NA,0.0286563095630652,NA
1991,"BEL",0.0149934065064377,NA,NA,0.0149934065064377,NA,NA
1992,"BEL",0.0114122558117331,NA,NA,0.0114122558117331,NA,NA
1993,"BEL",-0.0135898426108271,NA,NA,-0.0135898426108271,NA,NA
1994,"BEL",0.0284841096790518,NA,NA,NA,0.0284841096790518,NA
1995,"BEL",0.0207933778045752,NA,NA,NA,0.0207933778045752,NA
1996,"BEL",0.0110340079529987,NA,NA,0.0110340079529987,NA,NA
1997,"BEL",0.0363615374257116,NA,NA,NA,0.0363615374257116,NA
1998,"BEL",0.0182728661412679,NA,NA,0.0182728661412679,NA,NA
1999,"BEL",0.033624025372518,NA,NA,NA,0.033624025372518,NA
2000,"BEL",0.0344560023263041,NA,NA,NA,0.0344560023263041,NA
2001,"BEL",0.00737242044462572,NA,NA,0.00737242044462572,NA,NA
2002,"BEL",0.0125682921885804,NA,NA,0.0125682921885804,NA,NA
2003,"BEL",0.00512866836972359,NA,NA,0.00512866836972359,NA,NA
2004,"BEL",0.0296750437257161,NA,NA,NA,0.0296750437257161,NA
2005,"BEL",0.0167397410395633,NA,NA,0.0167397410395633,NA,NA
2006,"BEL",0.0185135609798837,NA,NA,0.0185135609798837,NA,NA
2007,"BEL",0.029200343246131,NA,NA,NA,0.029200343246131,NA
2008,"BEL",-0.00309648811730212,NA,NA,-0.00309648811730212,NA,NA
2009,"BEL",-0.0275316137545523,NA,-0.0275316137545523,NA,NA,NA
2010,"BEL",0.0212329046082098,NA,NA,NA,0.0212329046082098,NA
2011,"BEL",0.0100094098359533,NA,NA,0.0100094098359533,NA,NA
2012,"BEL",0.000894280695717953,NA,NA,0.000894280695717953,NA,NA
2013,"BEL",-0.00159082633157481,NA,NA,-0.00159082633157481,NA,NA
2014,"BEL",0.00961418291928506,NA,NA,0.00961418291928506,NA,NA
2015,"BEL",0.0143842705978621,NA,NA,0.0143842705978621,NA,NA
2016,"BEL",0.00673763330509569,NA,NA,0.00673763330509569,NA,NA
2017,"BEL",0.0102682996558323,NA,NA,0.0102682996558323,NA,NA
2018,"BEL",0.0125872659900153,NA,NA,0.0125872659900153,NA,NA
2019,"BEL",0.012399277326369,NA,NA,0.012399277326369,NA,NA
1960,"BGR",NA,NA,NA,NA,NA,NA
1961,"BGR",NA,NA,NA,NA,NA,NA
1962,"BGR",NA,NA,NA,NA,NA,NA
1963,"BGR",NA,NA,NA,NA,NA,NA
1964,"BGR",NA,NA,NA,NA,NA,NA
1965,"BGR",NA,NA,NA,NA,NA,NA
1966,"BGR",NA,NA,NA,NA,NA,NA
1967,"BGR",NA,NA,NA,NA,NA,NA
1968,"BGR",NA,NA,NA,NA,NA,NA
1969,"BGR",NA,NA,NA,NA,NA,NA
1970,"BGR",NA,NA,NA,NA,NA,NA
1971,"BGR",0.0625361268942417,NA,NA,NA,0.0625361268942417,NA
1972,"BGR",0.0704056349445583,NA,NA,NA,0.0704056349445583,NA
1973,"BGR",0.0757689566600837,NA,NA,NA,0.0757689566600837,NA
1974,"BGR",0.0701109297496099,NA,NA,NA,0.0701109297496099,NA
1975,"BGR",0.0833327739692198,NA,NA,NA,0.0833327739692198,NA
1976,"BGR",0.0609406745947689,NA,NA,NA,0.0609406745947689,NA
1977,"BGR",0.0592343137529192,NA,NA,NA,0.0592343137529192,NA
1978,"BGR",0.0528085471635509,NA,NA,NA,0.0528085471635509,NA
1979,"BGR",0.0633044098723017,NA,NA,NA,0.0633044098723017,NA
1980,"BGR",0.0540563479489375,NA,NA,NA,0.0540563479489375,NA
1981,"BGR",0.0459031816573292,NA,NA,0.0459031816573292,NA,NA
1982,"BGR",0.0204107225935397,NA,NA,0.0204107225935397,NA,NA
1983,"BGR",0.0317136110432648,NA,NA,0.0317136110432648,NA,NA
1984,"BGR",0.0321435661566827,NA,NA,0.0321435661566827,NA,NA
1985,"BGR",0.0260971849488845,NA,NA,0.0260971849488845,NA,NA
1986,"BGR",0.0424023422540718,NA,NA,0.0424023422540718,NA,NA
1987,"BGR",0.0619648019029639,NA,NA,NA,0.0619648019029639,NA
1988,"BGR",0.112414095716758,NA,NA,NA,0.112414095716758,NA
1989,"BGR",-0.0286475739668238,NA,NA,-0.0286475739668238,NA,NA
1990,"BGR",-0.0854087598609377,NA,-0.0854087598609377,NA,NA,NA
1991,"BGR",-0.0766776212979317,NA,-0.0766776212979317,NA,NA,NA
1992,"BGR",-0.0628345654685558,NA,-0.0628345654685558,NA,NA,NA
1993,"BGR",-0.00327669916671969,NA,NA,-0.00327669916671969,NA,NA
1994,"BGR",0.0303410459490252,NA,NA,0.0303410459490252,NA,NA
1995,"BGR",0.0600833429805685,NA,NA,NA,0.0600833429805685,NA
1996,"BGR",0.0624633398266716,NA,NA,NA,0.0624633398266716,NA
